Population,Per Capita Income,Average Rent,City,Median Household Income
5146.0,30506.0,737.0,ANGELS CAMP,52088.0
295.0,29950.0,1234.0,ANGELUS OAKS,75076.0
6649.0,13723.0,328.0,ANGIE,31028.0
17425.0,21106.0,564.0,ANGIER,43289.0
39.0,40782.0,,ANGLE INLET,26635.0
30036.0,24283.0,548.0,ANGLETON,55911.0
31744.0,18015.0,675.7,ANGOLA,59775.3
457.0,29981.0,400.0,ANGOON,32857.0
819.0,19371.0,625.0,ANGORA,48750.0
1129.0,15963.0,374.0,ANGUILLA,55536.0
3740.0,23276.0,934.0,ANGWIN,60855.0
728.0,18198.0,700.0,ANIAK,58750.0
580.0,26709.0,325.0,ANIMAS,40284.0
2077.0,19861.5,416.5,ANITA,45724.5
1075.0,24598.0,450.0,ANIWA,54107.0
51272.0,33761.5,703.5,ANKENY,74823.5
699.0,14349.0,452.0,ANMOORE,36875.0
160982.0,34661.2,898.2,ANN ARBOR,60738.0
22747.0,24596.3,550.7,ANNA,57719.0
1559.0,37575.0,1098.0,ANNA MARIA,53021.0
695.0,20318.0,625.0,ANNABELLA,65781.0
141.0,29189.0,505.0,ANNADA,36375.0
74077.0,37863.0,1123.0,ANNANDALE,88906.0
1249.0,4381.0,,ANNANDALE ON HUDSON,
96423.0,39850.5,1049.3,ANNAPOLIS,98085.2
108.0,1526.0,,ANNAPOLIS JUNCTION,
1396.0,28736.0,439.0,ANNAWAN,58429.0
52013.0,20399.4,398.0,ANNISTON,34301.0
993.0,20723.0,318.0,ANNONA,36250.0
13961.0,21355.5,441.0,ANNVILLE,40045.0
46557.0,29489.0,842.0,ANOKA,68130.0
563.0,28129.0,315.0,ANSELMO,46250.0
1000.0,21682.0,359.0,ANSLEY,48009.0
5218.0,20545.0,372.0,ANSON,37992.5
21125.0,23090.0,646.0,ANSONIA,42980.0
644.0,13692.0,295.0,ANSONVILLE,30385.0
2078.0,19358.0,364.0,ANSTED,35788.0
47295.0,20483.0,767.5,ANTELOPE,70564.0
1294.0,22441.0,321.0,ANTHON,43333.0
31929.0,16855.0,416.5,ANTHONY,33340.2
13056.0,23224.0,503.0,ANTIGO,42020.0
235.0,35674.0,,ANTIMONY,58000.0
210545.0,26968.8,1058.0,ANTIOCH,66896.2
148.0,28458.0,,ANTLER,61607.0
5702.0,18083.0,332.0,ANTLERS,27535.0
192.0,18946.0,267.0,ANTOINE,30625.0
1641.0,25524.5,358.0,ANTON,45173.5
484.0,20949.0,,ANTON CHICO,27596.0
2029.0,16640.0,327.0,ANTONITO,28036.0
2639.0,27225.0,712.0,ANTRIM,64224.0
5147.0,22036.0,427.5,ANTWERP,48341.5
99.0,11540.0,,ANVIK,21875.0
3887.0,19342.0,836.0,ANZA,38564.0
3993.0,19756.0,339.0,APACHE,43578.0
48227.0,22607.5,631.0,APACHE JUNCTION,40333.0
3428.0,17336.0,457.0,APALACHICOLA,31806.0
8190.0,31417.0,598.0,APALACHIN,74842.0
61322.0,35578.3,868.7,APEX,83949.0
3573.0,32301.0,633.0,APISON,66859.0
1684.0,28890.0,420.0,APLINGTON,47292.0
14178.0,25755.0,454.0,APOLLO,49688.0
15317.0,35973.0,1162.0,APOLLO BEACH,70671.0
90225.0,25122.5,821.5,APOPKA,55351.0
2891.0,15730.0,309.0,APPALACHIA,29091.0
7571.0,17290.0,464.0,APPLE CREEK,50354.0
1170.0,19069.0,335.0,APPLE GROVE,37250.0
1250.0,25529.0,347.0,APPLE RIVER,51250.0
1136.0,22219.0,410.0,APPLE SPRINGS,36100.0
77252.0,23277.0,815.0,APPLE VALLEY,49974.5
2717.0,25710.0,770.0,APPLEGATE,57430.0
121041.0,27811.6,505.3,APPLETON,53274.7
1860.0,19206.0,309.0,APPLETON CITY,33355.0
5463.0,28762.0,422.0,APPLING,67049.0
9625.0,23985.0,430.0,APPOMATTOX,49466.0
24430.0,43093.0,1537.0,APTOS,83507.0
154.0,17432.0,,APULIA STATION,33875.0
781.0,30667.0,,AQUASCO,63274.0
51.0,71402.0,,AQUEBOGUE,
1161.0,22105.0,370.0,AQUILLA,42231.0
17245.0,22469.0,391.0,ARAB,42771.0
5307.0,19389.0,560.0,ARABI,42532.5
4430.0,20035.5,486.0,ARAGON,30955.5
11546.0,30949.0,518.0,ARANSAS PASS,39705.0
1140.0,25224.0,392.0,ARAPAHO,52188.0
3136.0,21054.0,396.2,ARAPAHOE,44907.5
5093.0,18844.0,338.0,ARARAT,44279.5
451.0,21730.0,266.0,ARBELA,44097.0
217.0,21825.0,535.0,ARBOLES,37708.0
155.0,35400.0,,ARBON,54667.0
375.0,20978.0,,ARBOVALE,31477.0
4814.0,19165.0,901.0,ARBUCKLE,53333.0
974.0,16361.0,264.0,ARBYRD,29010.0
5549.0,24217.0,494.0,ARCADE,46287.0
121499.0,25068.2,629.4,ARCADIA,48197.5
7673.0,23416.0,467.0,ARCANUM,52708.0
20319.0,21029.0,810.0,ARCATA,34046.0
234.0,20729.0,,ARCH CAPE,32438.0
6998.0,25988.0,515.0,ARCHBALD,46926.0
6765.0,26416.0,473.0,ARCHBOLD,50997.0
8076.0,28114.3,538.0,ARCHER,57605.0
1760.0,23868.0,375.0,ARCHER CITY,42961.0
2095.0,26082.0,470.0,ARCHIE,59792.0
1922.0,24315.0,396.0,ARCO,46224.0
5291.0,16968.0,350.2,ARCOLA,36078.2
127.0,15769.0,,ARCTIC VILLAGE,27500.0
364.0,24193.0,,ARDARA,57778.0
21562.0,29725.0,739.0,ARDEN,60077.0
95.0,30608.0,,ARDENVOIR,63750.0
56859.0,26804.2,561.8,ARDMORE,50338.5
5346.0,59920.0,1603.0,ARDSLEY,135139.0
158.0,59994.0,,ARDSLEY ON HUDSON,135192.0
68055.0,10188.0,315.0,ARECIBO,17848.0
126.0,23455.0,,AREDALE,35000.0
1894.0,25067.0,550.0,ARENA,54167.0
