Population,Median Household Income,Per Capita Income,Average Rent,Zipcode,City,State
16025.0,41103.0,22181.0,577.0,01247,NORTH ADAMS,MA
742.0,67917.0,36261.0,709.0,01253,OTIS,MA
997.0,95125.0,50182.0,544.0,01254,RICHMOND,MA
930.0,55917.0,29539.0,606.0,01255,SANDISFIELD,MA
675.0,56500.0,28533.0,531.0,01256,SAVOY,MA
2183.0,50543.0,33690.0,820.0,01257,SHEFFIELD,MA
304.0,56607.0,41482.0,,01258,SOUTH EGREMONT,MA
613.0,70074.0,43844.0,957.0,01259,SOUTHFIELD,MA
240.0,74615.0,25668.0,,01260,SOUTH LEE,MA
1257.0,41648.0,33165.0,792.0,01262,STOCKBRIDGE,MA
167.0,70625.0,51626.0,683.0,01264,TYRINGHAM,MA
1433.0,76953.0,44493.0,988.0,01266,WEST STOCKBRIDGE,MA
7985.0,72352.0,33717.0,772.0,01267,WILLIAMSTOWN,MA
806.0,68456.0,32940.0,,01270,WINDSOR,MA
17806.0,48319.0,27354.0,692.0,01301,GREENFIELD,MA
1540.0,72560.0,35226.0,656.0,01330,ASHFIELD,MA
13383.0,50498.0,23736.0,556.0,01331,ATHOL,MA
2609.0,58875.0,31366.0,1064.0,01337,BERNARDSTON,MA
169.0,69886.0,39439.0,,01338,BUCKLAND,MA
1597.0,50536.0,29981.0,592.0,01339,CHARLEMONT,MA
1784.0,49886.0,29025.0,721.0,01340,COLRAIN,MA
1605.0,77500.0,37209.0,812.0,01341,CONWAY,MA
1506.0,99675.0,46508.0,498.0,01342,DEERFIELD,MA
76.0,81806.0,38675.0,,01343,DRURY,MA
1526.0,57500.0,24274.0,731.0,01344,ERVING,MA
448.0,65000.0,33809.0,704.0,01346,HEATH,MA
93.0,31250.0,16610.0,,01347,LAKE PLEASANT,MA
844.0,50714.0,27191.0,858.0,01349,MILLERS FALLS,MA
117.0,36875.0,23709.0,700.0,01350,MONROE BRIDGE,MA
2253.0,70799.0,34353.0,726.0,01351,MONTAGUE,MA
1532.0,74583.0,34215.0,817.0,01354,GILL,MA
990.0,68929.0,28963.0,1214.0,01355,NEW SALEM,MA
3033.0,60608.0,32021.0,593.0,01360,NORTHFIELD,MA
7960.0,45758.0,21734.0,587.0,01364,ORANGE,MA
1294.0,76094.0,33059.0,683.0,01366,PETERSHAM,MA
590.0,47279.0,26501.0,886.0,01367,ROWE,MA
1161.0,60750.0,27999.0,770.0,01368,ROYALSTON,MA
4113.0,53516.0,29074.0,774.0,01370,SHELBURNE FALLS,MA
4441.0,64127.0,31811.0,824.0,01373,SOUTH DEERFIELD,MA
3692.0,47000.0,28057.0,1050.0,01375,SUNDERLAND,MA
5513.0,39792.0,24108.0,590.0,01376,TURNERS FALLS,MA
639.0,56094.0,33914.0,917.0,01378,WARWICK,MA
957.0,48188.0,27732.0,835.0,01379,WENDELL,MA
40358.0,45363.0,22620.0,685.0,01420,FITCHBURG,MA
6119.0,83532.0,34454.0,1006.0,01430,ASHBURNHAM,MA
3114.0,82778.0,33228.0,1156.0,01431,ASHBY,MA
7061.0,57543.0,34502.0,899.0,01432,AYER,MA
1702.0,77396.0,14154.0,,01434,DEVENS,MA
3838.0,69076.0,27831.0,773.0,01436,BALDWINVILLE,MA
359.0,62422.0,24617.0,,01438,EAST TEMPLETON,MA
20388.0,49067.0,23297.0,656.0,01440,GARDNER,MA
10842.0,117127.0,48248.0,1016.0,01450,GROTON,MA
4964.0,136058.0,60872.0,1317.0,01451,HARVARD,MA
4398.0,86979.0,33730.0,798.0,01452,HUBBARDSTON,MA
41002.0,58896.0,29382.0,784.0,01453,LEOMINSTER,MA
9038.0,105455.0,47502.0,892.0,01460,LITTLETON,MA
10549.0,76063.0,35866.0,921.0,01462,LUNENBURG,MA
11645.0,81193.0,35689.0,1004.0,01463,PEPPERELL,MA
7435.0,65882.0,24469.0,994.0,01464,SHIRLEY,MA
398.0,181810.0,57529.0,,01467,STILL RIVER,MA
3710.0,62096.0,28094.0,1298.0,01468,TEMPLETON,MA
7044.0,78985.0,34037.0,707.0,01469,TOWNSEND,MA
7320.0,83840.0,34860.0,1003.0,01473,WESTMINSTER,MA
1993.0,90521.0,37146.0,795.0,01474,WEST TOWNSEND,MA
10386.0,58288.0,27204.0,626.0,01475,WINCHENDON,MA
16089.0,73612.0,34644.0,821.0,01501,AUBURN,MA
2886.0,95962.0,44297.0,1013.0,01503,BERLIN,MA
9035.0,74294.0,32488.0,757.0,01504,BLACKSTONE,MA
4366.0,97938.0,53378.0,536.0,01505,BOYLSTON,MA
3382.0,61800.0,29391.0,555.0,01506,BROOKFIELD,MA
13034.0,93963.0,35678.0,761.0,01507,CHARLTON,MA
13634.0,64723.0,31765.0,820.0,01510,CLINTON,MA
2253.0,66042.0,30172.0,936.0,01515,EAST BROOKFIELD,MA
8575.0,82831.0,36503.0,868.0,01516,DOUGLAS,MA
2689.0,61719.0,33795.0,370.0,01518,FISKDALE,MA
6514.0,102300.0,44302.0,854.0,01519,GRAFTON,MA
14354.0,96780.0,41173.0,910.0,01520,HOLDEN,MA
2442.0,67684.0,32734.0,692.0,01521,HOLLAND,MA
3145.0,93238.0,38120.0,720.0,01522,JEFFERSON,MA
7680.0,78283.0,28387.0,846.0,01523,LANCASTER,MA
6940.0,68899.0,29142.0,513.0,01524,LEICESTER,MA
145.0,44857.0,33626.0,,01525,LINWOOD,MA
13264.0,71832.0,32329.0,823.0,01527,MILLBURY,MA
3197.0,82083.0,29546.0,895.0,01529,MILLVILLE,MA
1053.0,82569.0,30961.0,767.0,01531,NEW BRAINTREE,MA
14529.0,108415.0,43878.0,1085.0,01532,NORTHBOROUGH,MA
5299.0,85000.0,36653.0,568.0,01534,NORTHBRIDGE,MA
