Type	D	M	Y	Season	Winning League	Winning Team	Losing League	Losing Team	Winner Score	Loser Score	OT	Country	City	Attend.
Regular Season	17	1	2007	(2006-07)	NBA	Memphis Grizzlies	NBA	Philadelphia 76ers	118	102				
Regular Season	17	1	2007	(2006-07)	NBA	Brooklyn Nets	NBA	Charlotte Hornets	92	85				
Regular Season	17	1	2007	(2006-07)	NBA	Phoenix Suns	NBA	Houston Rockets	100	91				
Regular Season	17	1	2007	(2006-07)	NBA	Portland Trail Blazers	NBA	Cleveland Cavaliers	94	76				
Regular Season	17	1	2007	(2006-07)	NBA	Toronto Raptors	NBA	Sacramento Kings	101	85				
Regular Season	17	1	2007	(2006-07)	NBA	Utah Jazz	NBA	Detroit Pistons	100	99				
Regular Season	17	1	2007	(2006-07)	NBA	Washington Wizards	NBA	New York Knicks	99	98				
Regular Season	18	1	2007	(2006-07)	NBA	Dallas Mavericks	NBA	Los Angeles Lakers	114	95				
Regular Season	18	1	2007	(2006-07)	NBA	Miami Heat	NBA	Indiana Pacers	104	101				
Regular Season	19	1	2007	(2006-07)	NBA	Charlotte Hornets	NBA	Atlanta Hawks	96	75				
Regular Season	19	1	2007	(2006-07)	NBA	Denver Nuggets (2)	NBA	Cleveland Cavaliers	110	99				
Regular Season	19	1	2007	(2006-07)	NBA	Detroit Pistons	NBA	Minnesota Timberwolves	104	98	##			
Regular Season	19	1	2007	(2006-07)	NBA	Brooklyn Nets	NBA	New York Knicks	101	100				
Regular Season	19	1	2007	(2006-07)	NBA	Philadelphia 76ers	NBA	Miami Heat	98	95	#			
Regular Season	19	1	2007	(2006-07)	NBA	Phoenix Suns	NBA	Portland Trail Blazers	106	101				
Regular Season	19	1	2007	(2006-07)	NBA	Sacramento Kings	NBA	Boston Celtics	96	91				
Regular Season	19	1	2007	(2006-07)	NBA	San Antonio Spurs	NBA	New Orleans Pelicans	99	86				
Regular Season	19	1	2007	(2006-07)	NBA	Oklahoma City Thunder	NBA	Milwaukee Bucks	99	72				
Regular Season	19	1	2007	(2006-07)	NBA	Utah Jazz	NBA	Toronto Raptors	102	94				
Regular Season	19	1	2007	(2006-07)	NBA	Washington Wizards	NBA	Orlando Magic	114	93				
Regular Season	20	1	2007	(2006-07)	NBA	Charlotte Hornets	NBA	Atlanta Hawks	104	85				
Regular Season	20	1	2007	(2006-07)	NBA	Cleveland Cavaliers	NBA	Golden State Warriors	106	104	#			
Regular Season	20	1	2007	(2006-07)	NBA	Denver Nuggets (2)	NBA	Houston Rockets	121	113	#			
Regular Season	20	1	2007	(2006-07)	NBA	Detroit Pistons	NBA	Sacramento Kings	91	74				
Regular Season	20	1	2007	(2006-07)	NBA	Los Angeles Clippers	NBA	Memphis Grizzlies	112	91				
Regular Season	20	1	2007	(2006-07)	NBA	Brooklyn Nets	NBA	Orlando Magic	101	94				
Regular Season	20	1	2007	(2006-07)	NBA	New Orleans Pelicans	NBA	Los Angeles Lakers	113	103				
Regular Season	20	1	2007	(2006-07)	NBA	New York Knicks	NBA	Indiana Pacers	108	106				
Regular Season	20	1	2007	(2006-07)	NBA	Utah Jazz	NBA	Chicago Bulls	95	85				
Regular Season	20	1	2007	(2006-07)	NBA	Washington Wizards	NBA	Boston Celtics	115	110	#			
Regular Season	21	1	2007	(2006-07)	NBA	Dallas Mavericks	NBA	Miami Heat	99	93				
Regular Season	21	1	2007	(2006-07)	NBA	Phoenix Suns	NBA	Minnesota Timberwolves	131	102				
Regular Season	21	1	2007	(2006-07)	NBA	Portland Trail Blazers	NBA	Milwaukee Bucks	99	95				
Regular Season	21	1	2007	(2006-07)	NBA	San Antonio Spurs	NBA	Philadelphia 76ers	99	85				
Regular Season	22	1	2007	(2006-07)	NBA	Denver Nuggets (2)	NBA	Memphis Grizzlies	115	98				
Regular Season	22	1	2007	(2006-07)	NBA	Indiana Pacers	NBA	Chicago Bulls	98	91				
Regular Season	22	1	2007	(2006-07)	NBA	Los Angeles Lakers	NBA	Golden State Warriors	108	103				
Regular Season	22	1	2007	(2006-07)	NBA	Miami Heat	NBA	New York Knicks	101	83				
Regular Season	22	1	2007	(2006-07)	NBA	Orlando Magic	NBA	Cleveland Cavaliers	90	79				
Regular Season	22	1	2007	(2006-07)	NBA	Sacramento Kings	NBA	Brooklyn Nets	88	87				
Regular Season	22	1	2007	(2006-07)	NBA	San Antonio Spurs	NBA	Boston Celtics	93	89				
Regular Season	22	1	2007	(2006-07)	NBA	Toronto Raptors	NBA	Charlotte Hornets	105	84				
Regular Season	22	1	2007	(2006-07)	NBA	Utah Jazz	NBA	Minnesota Timberwolves	106	91				
Regular Season	23	1	2007	(2006-07)	NBA	Chicago Bulls	NBA	Atlanta Hawks	94	86				
Regular Season	23	1	2007	(2006-07)	NBA	Dallas Mavericks	NBA	Orlando Magic	111	95				
Regular Season	23	1	2007	(2006-07)	NBA	Denver Nuggets (2)	NBA	Oklahoma City Thunder	117	112				
Regular Season	23	1	2007	(2006-07)	NBA	Los Angeles Clippers	NBA	Milwaukee Bucks	115	96				
Regular Season	23	1	2007	(2006-07)	NBA	Philadelphia 76ers	NBA	New Orleans Pelicans	102	96				
Regular Season	23	1	2007	(2006-07)	NBA	Phoenix Suns	NBA	Washington Wizards	127	105				
Regular Season	24	1	2007	(2006-07)	NBA	Atlanta Hawks	NBA	Boston Celtics	82	76				
Regular Season	24	1	2007	(2006-07)	NBA	Detroit Pistons	NBA	Charlotte Hornets	103	92				
Regular Season	24	1	2007	(2006-07)	NBA	Golden State Warriors	NBA	Brooklyn Nets	110	109				
Regular Season	24	1	2007	(2006-07)	NBA	Houston Rockets	NBA	San Antonio Spurs	90	85				
Regular Season	24	1	2007	(2006-07)	NBA	Indiana Pacers	NBA	Miami Heat	96	94	#			
Regular Season	24	1	2007	(2006-07)	NBA	Memphis Grizzlies	NBA	Utah Jazz	132	130	#			
Regular Season	24	1	2007	(2006-07)	NBA	Philadelphia 76ers	NBA	Cleveland Cavaliers	118	115	##			
Regular Season	24	1	2007	(2006-07)	NBA	Phoenix Suns	NBA	New York Knicks	112	107				
Regular Season	24	1	2007	(2006-07)	NBA	Portland Trail Blazers	NBA	Minnesota Timberwolves	101	98	#			
Regular Season	24	1	2007	(2006-07)	NBA	Sacramento Kings	NBA	Milwaukee Bucks	114	106				
Regular Season	24	1	2007	(2006-07)	NBA	Toronto Raptors	NBA	New Orleans Pelicans	90	88				
Regular Season	25	1	2007	(2006-07)	NBA	Chicago Bulls	NBA	Dallas Mavericks	96	85				
Regular Season	25	1	2007	(2006-07)	NBA	Los Angeles Clippers	NBA	Brooklyn Nets	102	101				
Regular Season	26	1	2007	(2006-07)	NBA	Atlanta Hawks	NBA	Orlando Magic	93	90				
Regular Season	26	1	2007	(2006-07)	NBA	Charlotte Hornets	NBA	Los Angeles Lakers	106	97	#			
Regular Season	26	1	2007	(2006-07)	NBA	Cleveland Cavaliers	NBA	Philadelphia 76ers	105	97				
Regular Season	26	1	2007	(2006-07)	NBA	Houston Rockets	NBA	Portland Trail Blazers	99	69				
Regular Season	26	1	2007	(2006-07)	NBA	New Orleans Pelicans	NBA	Sacramento Kings	88	84		USA	New Orleans	
Regular Season	26	1	2007	(2006-07)	NBA	New York Knicks	NBA	Miami Heat	116	96				
Regular Season	26	1	2007	(2006-07)	NBA	Phoenix Suns	NBA	Milwaukee Bucks	98	90				
Regular Season	26	1	2007	(2006-07)	NBA	San Antonio Spurs	NBA	Memphis Grizzlies	112	96				
Regular Season	26	1	2007	(2006-07)	NBA	Oklahoma City Thunder	NBA	Minnesota Timberwolves	102	100				
Regular Season	26	1	2007	(2006-07)	NBA	Toronto Raptors	NBA	Boston Celtics	96	90				
Regular Season	26	1	2007	(2006-07)	NBA	Utah Jazz	NBA	Denver Nuggets (2)	116	111				
Regular Season	26	1	2007	(2006-07)	NBA	Washington Wizards	NBA	Detroit Pistons	99	96				
Regular Season	27	1	2007	(2006-07)	NBA	Chicago Bulls	NBA	Miami Heat	100	97				
Regular Season	27	1	2007	(2006-07)	NBA	Dallas Mavericks	NBA	Sacramento Kings	106	104				
Regular Season	27	1	2007	(2006-07)	NBA	Golden State Warriors	NBA	Charlotte Hornets	131	105				
Regular Season	27	1	2007	(2006-07)	NBA	Indiana Pacers	NBA	Toronto Raptors	102	84				
Regular Season	27	1	2007	(2006-07)	NBA	Minnesota Timberwolves	NBA	Los Angeles Clippers	101	87				
Regular Season	27	1	2007	(2006-07)	NBA	Brooklyn Nets	NBA	Denver Nuggets (2)	112	102				
Regular Season	27	1	2007	(2006-07)	NBA	New Orleans Pelicans	NBA	Utah Jazz	94	83				
Regular Season	27	1	2007	(2006-07)	NBA	Philadelphia 76ers	NBA	Atlanta Hawks	104	89				
Regular Season	27	1	2007	(2006-07)	NBA	Portland Trail Blazers	NBA	Memphis Grizzlies	135	132	##			
Regular Season	28	1	2007	(2006-07)	NBA	Detroit Pistons	NBA	Indiana Pacers	95	87				
Regular Season	28	1	2007	(2006-07)	NBA	Los Angeles Clippers	NBA	Oklahoma City Thunder	98	76				
Regular Season	28	1	2007	(2006-07)	NBA	Milwaukee Bucks	NBA	New York Knicks	107	105				
Regular Season	28	1	2007	(2006-07)	NBA	Phoenix Suns	NBA	Cleveland Cavaliers	115	100				
Regular Season	28	1	2007	(2006-07)	NBA	San Antonio Spurs	NBA	Los Angeles Lakers	96	94	#			
