Type	D	M	Y	Season	Winning League	Winning Team	Losing League	Losing Team	Winner Score	Loser Score	OT	Country	City	Attend.
Playoffs	28	4	2013	(2012-13)	NBA	Golden State Warriors	NBA	Denver Nuggets (2)	115	101				
Playoffs	28	4	2013	(2012-13)	NBA	Miami Heat	NBA	Milwaukee Bucks	88	77				
Playoffs	28	4	2013	(2012-13)	NBA	San Antonio Spurs	NBA	Los Angeles Lakers	103	82				
Playoffs	29	4	2013	(2012-13)	NBA	Atlanta Hawks	NBA	Indiana Pacers	102	91				
Playoffs	29	4	2013	(2012-13)	NBA	Brooklyn Nets	NBA	Chicago Bulls	110	91				
Playoffs	29	4	2013	(2012-13)	NBA	Houston Rockets	NBA	Oklahoma City Thunder	105	103				
Playoffs	30	4	2013	(2012-13)	NBA	Denver Nuggets (2)	NBA	Golden State Warriors	107	100				
Playoffs	30	4	2013	(2012-13)	NBA	Memphis Grizzlies	NBA	Los Angeles Clippers	103	93				
Playoffs	1	5	2013	(2012-13)	NBA	Boston Celtics	NBA	New York Knicks	92	86				
Playoffs	1	5	2013	(2012-13)	NBA	Houston Rockets	NBA	Oklahoma City Thunder	107	100				
Playoffs	1	5	2013	(2012-13)	NBA	Indiana Pacers	NBA	Atlanta Hawks	106	83				
Playoffs	2	5	2013	(2012-13)	NBA	Brooklyn Nets	NBA	Chicago Bulls	95	92				
Playoffs	2	5	2013	(2012-13)	NBA	Golden State Warriors	NBA	Denver Nuggets (2)	92	88				
Playoffs	3	5	2013	(2012-13)	NBA	Indiana Pacers	NBA	Atlanta Hawks	81	73				
Playoffs	3	5	2013	(2012-13)	NBA	Memphis Grizzlies	NBA	Los Angeles Clippers	118	105				
Playoffs	3	5	2013	(2012-13)	NBA	New York Knicks	NBA	Boston Celtics	88	80				
Playoffs	3	5	2013	(2012-13)	NBA	Oklahoma City Thunder	NBA	Houston Rockets	103	94				
Playoffs	4	5	2013	(2012-13)	NBA	Chicago Bulls	NBA	Brooklyn Nets	99	93				
Playoffs	5	5	2013	(2012-13)	NBA	Indiana Pacers	NBA	New York Knicks	102	95				
Playoffs	5	5	2013	(2012-13)	NBA	Oklahoma City Thunder	NBA	Memphis Grizzlies	93	91				
Playoffs	6	5	2013	(2012-13)	NBA	Chicago Bulls	NBA	Miami Heat	93	86				
Playoffs	6	5	2013	(2012-13)	NBA	San Antonio Spurs	NBA	Golden State Warriors	129	127	##			
Playoffs	7	5	2013	(2012-13)	NBA	Memphis Grizzlies	NBA	Oklahoma City Thunder	99	93				
Playoffs	7	5	2013	(2012-13)	NBA	New York Knicks	NBA	Indiana Pacers	105	79				
Playoffs	8	5	2013	(2012-13)	NBA	Golden State Warriors	NBA	San Antonio Spurs	100	91				
Playoffs	8	5	2013	(2012-13)	NBA	Miami Heat	NBA	Chicago Bulls	115	78				
Playoffs	10	5	2013	(2012-13)	NBA	Miami Heat	NBA	Chicago Bulls	104	94				
Playoffs	10	5	2013	(2012-13)	NBA	San Antonio Spurs	NBA	Golden State Warriors	102	92				
Playoffs	11	5	2013	(2012-13)	NBA	Indiana Pacers	NBA	New York Knicks	82	71				
Playoffs	11	5	2013	(2012-13)	NBA	Memphis Grizzlies	NBA	Oklahoma City Thunder	87	81				
Playoffs	12	5	2013	(2012-13)	NBA	Golden State Warriors	NBA	San Antonio Spurs	97	87	#			
Playoffs	13	5	2013	(2012-13)	NBA	Memphis Grizzlies	NBA	Oklahoma City Thunder	103	97	#			
Playoffs	13	5	2013	(2012-13)	NBA	Miami Heat	NBA	Chicago Bulls	88	65				
Playoffs	14	5	2013	(2012-13)	NBA	Indiana Pacers	NBA	New York Knicks	93	82				
Playoffs	14	5	2013	(2012-13)	NBA	San Antonio Spurs	NBA	Golden State Warriors	109	91				
Playoffs	15	5	2013	(2012-13)	NBA	Memphis Grizzlies	NBA	Oklahoma City Thunder	88	84				
Playoffs	15	5	2013	(2012-13)	NBA	Miami Heat	NBA	Chicago Bulls	94	91				
Playoffs	16	5	2013	(2012-13)	NBA	New York Knicks	NBA	Indiana Pacers	85	75				
Playoffs	16	5	2013	(2012-13)	NBA	San Antonio Spurs	NBA	Golden State Warriors	94	82				
Playoffs	18	5	2013	(2012-13)	NBA	Indiana Pacers	NBA	New York Knicks	106	99				
Playoffs	19	5	2013	(2012-13)	NBA	San Antonio Spurs	NBA	Memphis Grizzlies	105	83				
Playoffs	21	5	2013	(2012-13)	NBA	San Antonio Spurs	NBA	Memphis Grizzlies	93	89	#			
Playoffs	22	5	2013	(2012-13)	NBA	Miami Heat	NBA	Indiana Pacers	103	102	#			
Playoffs	24	5	2013	(2012-13)	NBA	Indiana Pacers	NBA	Miami Heat	97	93				
Playoffs	25	5	2013	(2012-13)	NBA	San Antonio Spurs	NBA	Memphis Grizzlies	104	93	#			
Playoffs	26	5	2013	(2012-13)	NBA	Miami Heat	NBA	Indiana Pacers	114	96				
Playoffs	27	5	2013	(2012-13)	NBA	San Antonio Spurs	NBA	Memphis Grizzlies	93	86				
Playoffs	28	5	2013	(2012-13)	NBA	Indiana Pacers	NBA	Miami Heat	99	92				
Playoffs	30	5	2013	(2012-13)	NBA	Miami Heat	NBA	Indiana Pacers	90	79				
Playoffs	1	6	2013	(2012-13)	NBA	Indiana Pacers	NBA	Miami Heat	91	77				
Playoffs	3	6	2013	(2012-13)	NBA	Miami Heat	NBA	Indiana Pacers	99	76				
Finals	6	6	2013	(2012-13)	NBA	San Antonio Spurs	NBA	Miami Heat	92	88				
Finals	9	6	2013	(2012-13)	NBA	Miami Heat	NBA	San Antonio Spurs	103	84				
Finals	11	6	2013	(2012-13)	NBA	San Antonio Spurs	NBA	Miami Heat	113	77				
Finals	13	6	2013	(2012-13)	NBA	Miami Heat	NBA	San Antonio Spurs	109	93				
Finals	16	6	2013	(2012-13)	NBA	San Antonio Spurs	NBA	Miami Heat	114	104				
Finals	18	6	2013	(2012-13)	NBA	Miami Heat	NBA	San Antonio Spurs	103	100	#			
Finals	20	6	2013	(2012-13)	NBA	Miami Heat	NBA	San Antonio Spurs	95	88				
Regular Season	29	10	2013	(2013-14)	NBA	Indiana Pacers	NBA	Orlando Magic	97	87				
Regular Season	29	10	2013	(2013-14)	NBA	Los Angeles Lakers	NBA	Los Angeles Clippers	116	103				
Regular Season	29	10	2013	(2013-14)	NBA	Miami Heat	NBA	Chicago Bulls	107	95				
Regular Season	30	10	2013	(2013-14)	NBA	Cleveland Cavaliers	NBA	Brooklyn Nets	98	94				
Regular Season	30	10	2013	(2013-14)	NBA	Dallas Mavericks	NBA	Atlanta Hawks	118	109				
Regular Season	30	10	2013	(2013-14)	NBA	Detroit Pistons	NBA	Washington Wizards	113	102				
Regular Season	30	10	2013	(2013-14)	NBA	Golden State Warriors	NBA	Los Angeles Lakers	125	94				
Regular Season	30	10	2013	(2013-14)	NBA	Houston Rockets	NBA	Charlotte Hornets	96	83				
Regular Season	30	10	2013	(2013-14)	NBA	Indiana Pacers	NBA	New Orleans Pelicans	95	90				
Regular Season	30	10	2013	(2013-14)	NBA	Minnesota Timberwolves	NBA	Orlando Magic	120	115	#			
Regular Season	30	10	2013	(2013-14)	NBA	New York Knicks	NBA	Milwaukee Bucks	90	83				
Regular Season	30	10	2013	(2013-14)	NBA	Oklahoma City Thunder	NBA	Utah Jazz	101	98				
Regular Season	30	10	2013	(2013-14)	NBA	Philadelphia 76ers	NBA	Miami Heat	114	110				
Regular Season	30	10	2013	(2013-14)	NBA	Phoenix Suns	NBA	Portland Trail Blazers	104	91				
Regular Season	30	10	2013	(2013-14)	NBA	Sacramento Kings	NBA	Denver Nuggets (2)	90	88				
Regular Season	30	10	2013	(2013-14)	NBA	San Antonio Spurs	NBA	Memphis Grizzlies	101	94				
Regular Season	30	10	2013	(2013-14)	NBA	Toronto Raptors	NBA	Boston Celtics	93	87				
Regular Season	31	10	2013	(2013-14)	NBA	Chicago Bulls	NBA	New York Knicks	82	81				
Regular Season	31	10	2013	(2013-14)	NBA	Los Angeles Clippers	NBA	Golden State Warriors	126	115				
Regular Season	1	11	2013	(2013-14)	NBA	Atlanta Hawks	NBA	Toronto Raptors	102	95				
Regular Season	1	11	2013	(2013-14)	NBA	Brooklyn Nets	NBA	Miami Heat	101	100				
Regular Season	1	11	2013	(2013-14)	NBA	Charlotte Hornets	NBA	Cleveland Cavaliers	90	84				
Regular Season	1	11	2013	(2013-14)	NBA	Houston Rockets	NBA	Dallas Mavericks	113	105				
Regular Season	1	11	2013	(2013-14)	NBA	Los Angeles Clippers	NBA	Sacramento Kings	110	101				
Regular Season	1	11	2013	(2013-14)	NBA	Memphis Grizzlies	NBA	Detroit Pistons	111	108	#			
Regular Season	1	11	2013	(2013-14)	NBA	Milwaukee Bucks	NBA	Boston Celtics	105	98				
Regular Season	1	11	2013	(2013-14)	NBA	Minnesota Timberwolves	NBA	Oklahoma City Thunder	100	81				
Regular Season	1	11	2013	(2013-14)	NBA	Orlando Magic	NBA	New Orleans Pelicans	110	90				
Regular Season	1	11	2013	(2013-14)	NBA	Philadelphia 76ers	NBA	Washington Wizards	109	102				
Regular Season	1	11	2013	(2013-14)	NBA	Phoenix Suns	NBA	Utah Jazz	87	84				
Regular Season	1	11	2013	(2013-14)	NBA	Portland Trail Blazers	NBA	Denver Nuggets (2)	113	98				
Regular Season	1	11	2013	(2013-14)	NBA	San Antonio Spurs	NBA	Los Angeles Lakers	91	85				
Regular Season	2	11	2013	(2013-14)	NBA	Dallas Mavericks	NBA	Memphis Grizzlies	111	99				
Regular Season	2	11	2013	(2013-14)	NBA	Golden State Warriors	NBA	Sacramento Kings	98	87				
Regular Season	2	11	2013	(2013-14)	NBA	Houston Rockets	NBA	Utah Jazz	104	93				
Regular Season	2	11	2013	(2013-14)	NBA	Indiana Pacers	NBA	Cleveland Cavaliers	89	74				
Regular Season	2	11	2013	(2013-14)	NBA	New Orleans Pelicans	NBA	Charlotte Hornets	105	84				
Regular Season	2	11	2013	(2013-14)	NBA	Philadelphia 76ers	NBA	Chicago Bulls	107	104				
Regular Season	2	11	2013	(2013-14)	NBA	Portland Trail Blazers	NBA	San Antonio Spurs	115	105				
Regular Season	2	11	2013	(2013-14)	NBA	Toronto Raptors	NBA	Milwaukee Bucks	97	90				
Regular Season	3	11	2013	(2013-14)	NBA	Detroit Pistons	NBA	Boston Celtics	87	77				
Regular Season	3	11	2013	(2013-14)	NBA	Los Angeles Lakers	NBA	Atlanta Hawks	105	103				
Regular Season	3	11	2013	(2013-14)	NBA	Miami Heat	NBA	Washington Wizards	103	93				
Regular Season	3	11	2013	(2013-14)	NBA	Minnesota Timberwolves	NBA	New York Knicks	109	100				
Regular Season	3	11	2013	(2013-14)	NBA	Oklahoma City Thunder	NBA	Phoenix Suns	103	96				
Regular Season	3	11	2013	(2013-14)	NBA	Orlando Magic	NBA	Brooklyn Nets	107	86				
Regular Season	4	11	2013	(2013-14)	NBA	Cleveland Cavaliers	NBA	Minnesota Timberwolves	93	92				
Regular Season	4	11	2013	(2013-14)	NBA	Golden State Warriors	NBA	Philadelphia 76ers	110	90				
Regular Season	4	11	2013	(2013-14)	NBA	Los Angeles Clippers	NBA	Houston Rockets	137	118				
Regular Season	4	11	2013	(2013-14)	NBA	Memphis Grizzlies	NBA	Boston Celtics	95	88				
Regular Season	5	11	2013	(2013-14)	NBA	Atlanta Hawks	NBA	Sacramento Kings	105	100				
Regular Season	5	11	2013	(2013-14)	NBA	Brooklyn Nets	NBA	Utah Jazz	104	88				
Regular Season	5	11	2013	(2013-14)	NBA	Charlotte Hornets	NBA	New York Knicks	102	97				
Regular Season	5	11	2013	(2013-14)	NBA	Dallas Mavericks	NBA	Los Angeles Lakers	123	104				
Regular Season	5	11	2013	(2013-14)	NBA	Houston Rockets	NBA	Portland Trail Blazers	116	101				
Regular Season	5	11	2013	(2013-14)	NBA	Indiana Pacers	NBA	Detroit Pistons	99	91				
Regular Season	5	11	2013	(2013-14)	NBA	Miami Heat	NBA	Toronto Raptors	104	95				
Regular Season	5	11	2013	(2013-14)	NBA	Phoenix Suns	NBA	New Orleans Pelicans	104	98				
Regular Season	5	11	2013	(2013-14)	NBA	San Antonio Spurs	NBA	Denver Nuggets (2)	102	94				
Regular Season	6	11	2013	(2013-14)	NBA	Boston Celtics	NBA	Utah Jazz	97	87				
Regular Season	6	11	2013	(2013-14)	NBA	Charlotte Hornets	NBA	Toronto Raptors	92	90				
Regular Season	6	11	2013	(2013-14)	NBA	Golden State Warriors	NBA	Minnesota Timberwolves	106	93				
Regular Season	6	11	2013	(2013-14)	NBA	Indiana Pacers	NBA	Chicago Bulls	97	80				
Regular Season	6	11	2013	(2013-14)	NBA	Milwaukee Bucks	NBA	Cleveland Cavaliers	109	104				
Regular Season	6	11	2013	(2013-14)	NBA	New Orleans Pelicans	NBA	Memphis Grizzlies	99	84				
Regular Season	6	11	2013	(2013-14)	NBA	Oklahoma City Thunder	NBA	Dallas Mavericks	107	93				
Regular Season	6	11	2013	(2013-14)	NBA	Orlando Magic	NBA	Los Angeles Clippers	98	90				
Regular Season	6	11	2013	(2013-14)	NBA	San Antonio Spurs	NBA	Phoenix Suns	99	96				
Regular Season	6	11	2013	(2013-14)	NBA	Washington Wizards	NBA	Philadelphia 76ers	116	102				
Regular Season	7	11	2013	(2013-14)	NBA	Denver Nuggets (2)	NBA	Atlanta Hawks	109	107				
Regular Season	7	11	2013	(2013-14)	NBA	Los Angeles Lakers	NBA	Houston Rockets	99	98				
Regular Season	7	11	2013	(2013-14)	NBA	Miami Heat	NBA	Los Angeles Clippers	102	97				
Regular Season	8	11	2013	(2013-14)	NBA	Boston Celtics	NBA	Orlando Magic	91	89				
Regular Season	8	11	2013	(2013-14)	NBA	Chicago Bulls	NBA	Utah Jazz	97	73				
Regular Season	8	11	2013	(2013-14)	NBA	Indiana Pacers	NBA	Toronto Raptors	91	84				
Regular Season	8	11	2013	(2013-14)	NBA	Minnesota Timberwolves	NBA	Dallas Mavericks	116	108				
Regular Season	8	11	2013	(2013-14)	NBA	New Orleans Pelicans	NBA	Los Angeles Lakers	96	85				
Regular Season	8	11	2013	(2013-14)	NBA	New York Knicks	NBA	Charlotte Hornets	101	91				
Regular Season	8	11	2013	(2013-14)	NBA	Oklahoma City Thunder	NBA	Detroit Pistons	119	110				
Regular Season	8	11	2013	(2013-14)	NBA	Philadelphia 76ers	NBA	Cleveland Cavaliers	94	79				
Regular Season	8	11	2013	(2013-14)	NBA	Phoenix Suns	NBA	Denver Nuggets (2)	114	103				
Regular Season	8	11	2013	(2013-14)	NBA	Portland Trail Blazers	NBA	Sacramento Kings	104	91				
Regular Season	8	11	2013	(2013-14)	NBA	San Antonio Spurs	NBA	Golden State Warriors	76	74				
Regular Season	8	11	2013	(2013-14)	NBA	Washington Wizards	NBA	Brooklyn Nets	112	108	#			
Regular Season	9	11	2013	(2013-14)	NBA	Atlanta Hawks	NBA	Orlando Magic	104	94				
Regular Season	9	11	2013	(2013-14)	NBA	Boston Celtics	NBA	Miami Heat	111	110				
Regular Season	9	11	2013	(2013-14)	NBA	Cleveland Cavaliers	NBA	Philadelphia 76ers	127	125	##			
Regular Season	9	11	2013	(2013-14)	NBA	Dallas Mavericks	NBA	Milwaukee Bucks	91	83				
Regular Season	9	11	2013	(2013-14)	NBA	Indiana Pacers	NBA	Brooklyn Nets	96	91				
Regular Season	9	11	2013	(2013-14)	NBA	Los Angeles Clippers	NBA	Houston Rockets	107	94				
Regular Season	9	11	2013	(2013-14)	NBA	Memphis Grizzlies	NBA	Golden State Warriors	108	90				
Regular Season	9	11	2013	(2013-14)	NBA	Portland Trail Blazers	NBA	Sacramento Kings	96	85				
Regular Season	9	11	2013	(2013-14)	NBA	Toronto Raptors	NBA	Utah Jazz	115	91				
Regular Season	10	11	2013	(2013-14)	NBA	Minnesota Timberwolves	NBA	Los Angeles Lakers	113	90				
Regular Season	10	11	2013	(2013-14)	NBA	Oklahoma City Thunder	NBA	Washington Wizards	106	105	#			
Regular Season	10	11	2013	(2013-14)	NBA	Phoenix Suns	NBA	New Orleans Pelicans	101	94				
Regular Season	10	11	2013	(2013-14)	NBA	San Antonio Spurs	NBA	New York Knicks	120	89				
Regular Season	11	11	2013	(2013-14)	NBA	Atlanta Hawks	NBA	Charlotte Hornets	103	94				
Regular Season	11	11	2013	(2013-14)	NBA	Boston Celtics	NBA	Orlando Magic	120	105				
Regular Season	11	11	2013	(2013-14)	NBA	Chicago Bulls	NBA	Cleveland Cavaliers	96	81				
Regular Season	11	11	2013	(2013-14)	NBA	Denver Nuggets (2)	NBA	Utah Jazz	100	81				
Regular Season	11	11	2013	(2013-14)	NBA	Houston Rockets	NBA	Toronto Raptors	110	104	##			
Regular Season	11	11	2013	(2013-14)	NBA	Indiana Pacers	NBA	Memphis Grizzlies	95	79				
Regular Season	11	11	2013	(2013-14)	NBA	Los Angeles Clippers	NBA	Minnesota Timberwolves	109	107				
Regular Season	11	11	2013	(2013-14)	NBA	Portland Trail Blazers	NBA	Detroit Pistons	109	103				
Regular Season	11	11	2013	(2013-14)	NBA	San Antonio Spurs	NBA	Philadelphia 76ers	109	85				
Regular Season	12	11	2013	(2013-14)	NBA	Dallas Mavericks	NBA	Washington Wizards	105	95				
Regular Season	12	11	2013	(2013-14)	NBA	Golden State Warriors	NBA	Detroit Pistons	113	95				
Regular Season	12	11	2013	(2013-14)	NBA	Los Angeles Lakers	NBA	New Orleans Pelicans	116	95				
Regular Season	12	11	2013	(2013-14)	NBA	Miami Heat	NBA	Milwaukee Bucks	118	95				
Regular Season	13	11	2013	(2013-14)	NBA	Charlotte Hornets	NBA	Boston Celtics	89	83				
Regular Season	13	11	2013	(2013-14)	NBA	Denver Nuggets (2)	NBA	Los Angeles Lakers	111	99				
Regular Season	13	11	2013	(2013-14)	NBA	Los Angeles Clippers	NBA	Oklahoma City Thunder	111	103				
Regular Season	13	11	2013	(2013-14)	NBA	Minnesota Timberwolves	NBA	Cleveland Cavaliers	124	95				
Regular Season	13	11	2013	(2013-14)	NBA	New York Knicks	NBA	Atlanta Hawks	95	91				
Regular Season	13	11	2013	(2013-14)	NBA	Orlando Magic	NBA	Milwaukee Bucks	94	91				
Regular Season	13	11	2013	(2013-14)	NBA	Philadelphia 76ers	NBA	Houston Rockets	123	117	#			
Regular Season	13	11	2013	(2013-14)	NBA	Portland Trail Blazers	NBA	Phoenix Suns	90	89				
Regular Season	13	11	2013	(2013-14)	NBA	Sacramento Kings	NBA	Brooklyn Nets	107	86				
Regular Season	13	11	2013	(2013-14)	NBA	San Antonio Spurs	NBA	Washington Wizards	92	79				
Regular Season	13	11	2013	(2013-14)	NBA	Toronto Raptors	NBA	Memphis Grizzlies	103	87				
Regular Season	13	11	2013	(2013-14)	NBA	Utah Jazz	NBA	New Orleans Pelicans	111	105				
Regular Season	14	11	2013	(2013-14)	NBA	Golden State Warriors	NBA	Oklahoma City Thunder	116	115				
Regular Season	14	11	2013	(2013-14)	NBA	Houston Rockets	NBA	New York Knicks	109	106				
Regular Season	15	11	2013	(2013-14)	NBA	Atlanta Hawks	NBA	Philadelphia 76ers	113	103				
Regular Season	15	11	2013	(2013-14)	NBA	Brooklyn Nets	NBA	Phoenix Suns	100	98	#			
Regular Season	15	11	2013	(2013-14)	NBA	Charlotte Hornets	NBA	Cleveland Cavaliers	86	80				
Regular Season	15	11	2013	(2013-14)	NBA	Chicago Bulls	NBA	Toronto Raptors	96	80				
Regular Season	15	11	2013	(2013-14)	NBA	Denver Nuggets (2)	NBA	Minnesota Timberwolves	117	113				
Regular Season	15	11	2013	(2013-14)	NBA	Detroit Pistons	NBA	Sacramento Kings	97	90				
Regular Season	15	11	2013	(2013-14)	NBA	Indiana Pacers	NBA	Milwaukee Bucks	104	77				
Regular Season	15	11	2013	(2013-14)	NBA	Memphis Grizzlies	NBA	Los Angeles Lakers	89	86				
Regular Season	15	11	2013	(2013-14)	NBA	Miami Heat	NBA	Dallas Mavericks	110	104				
Regular Season	15	11	2013	(2013-14)	NBA	Portland Trail Blazers	NBA	Boston Celtics	109	96				
Regular Season	15	11	2013	(2013-14)	NBA	San Antonio Spurs	NBA	Utah Jazz	91	82				
Regular Season	16	11	2013	(2013-14)	NBA	Atlanta Hawks	NBA	New York Knicks	110	90				
Regular Season	16	11	2013	(2013-14)	NBA	Chicago Bulls	NBA	Indiana Pacers	110	94				
Regular Season	16	11	2013	(2013-14)	NBA	Cleveland Cavaliers	NBA	Washington Wizards	103	96	#			
Regular Season	16	11	2013	(2013-14)	NBA	Dallas Mavericks	NBA	Orlando Magic	108	100				
Regular Season	16	11	2013	(2013-14)	NBA	Golden State Warriors	NBA	Utah Jazz	102	88				
Regular Season	16	11	2013	(2013-14)	NBA	Houston Rockets	NBA	Denver Nuggets (2)	122	111				
Regular Season	16	11	2013	(2013-14)	NBA	Los Angeles Clippers	NBA	Brooklyn Nets	110	103				
Regular Season	16	11	2013	(2013-14)	NBA	Miami Heat	NBA	Charlotte Hornets	97	81				
Regular Season	16	11	2013	(2013-14)	NBA	Minnesota Timberwolves	NBA	Boston Celtics	106	88				
Regular Season	16	11	2013	(2013-14)	NBA	New Orleans Pelicans	NBA	Philadelphia 76ers	135	98				
Regular Season	16	11	2013	(2013-14)	NBA	Oklahoma City Thunder	NBA	Milwaukee Bucks	92	79				
Regular Season	17	11	2013	(2013-14)	NBA	Los Angeles Lakers	NBA	Detroit Pistons	114	99				
Regular Season	17	11	2013	(2013-14)	NBA	Memphis Grizzlies	NBA	Sacramento Kings	97	86				
Regular Season	17	11	2013	(2013-14)	NBA	Portland Trail Blazers	NBA	Toronto Raptors	118	110	#			
Regular Season	18	11	2013	(2013-14)	NBA	Chicago Bulls	NBA	Charlotte Hornets	86	81				
Regular Season	18	11	2013	(2013-14)	NBA	Dallas Mavericks	NBA	Philadelphia 76ers	97	94				
Regular Season	18	11	2013	(2013-14)	NBA	Golden State Warriors	NBA	Utah Jazz	98	87				
Regular Season	18	11	2013	(2013-14)	NBA	Memphis Grizzlies	NBA	Los Angeles Clippers	106	102				
Regular Season	18	11	2013	(2013-14)	NBA	Oklahoma City Thunder	NBA	Denver Nuggets (2)	115	113				
Regular Season	18	11	2013	(2013-14)	NBA	Portland Trail Blazers	NBA	Brooklyn Nets	108	98				
Regular Season	19	11	2013	(2013-14)	NBA	Detroit Pistons	NBA	New York Knicks	92	86				
Regular Season	19	11	2013	(2013-14)	NBA	Houston Rockets	NBA	Boston Celtics	109	85				
Regular Season	19	11	2013	(2013-14)	NBA	Miami Heat	NBA	Atlanta Hawks	104	88				
Regular Season	19	11	2013	(2013-14)	NBA	Sacramento Kings	NBA	Phoenix Suns	107	104				
Regular Season	19	11	2013	(2013-14)	NBA	Washington Wizards	NBA	Minnesota Timberwolves	104	100				
Regular Season	20	11	2013	(2013-14)	NBA	Atlanta Hawks	NBA	Detroit Pistons	93	85				
Regular Season	20	11	2013	(2013-14)	NBA	Charlotte Hornets	NBA	Brooklyn Nets	95	91				
Regular Season	20	11	2013	(2013-14)	NBA	Dallas Mavericks	NBA	Houston Rockets	123	120				
Regular Season	20	11	2013	(2013-14)	NBA	Indiana Pacers	NBA	New York Knicks	103	96	#			
Regular Season	20	11	2013	(2013-14)	NBA	Los Angeles Clippers	NBA	Minnesota Timberwolves	102	98				
Regular Season	20	11	2013	(2013-14)	NBA	Memphis Grizzlies	NBA	Golden State Warriors	88	81	#			
Regular Season	20	11	2013	(2013-14)	NBA	Miami Heat	NBA	Orlando Magic	120	92				
Regular Season	20	11	2013	(2013-14)	NBA	New Orleans Pelicans	NBA	Utah Jazz	105	98				
Regular Season	20	11	2013	(2013-14)	NBA	Portland Trail Blazers	NBA	Milwaukee Bucks	91	82				
Regular Season	20	11	2013	(2013-14)	NBA	Sacramento Kings	NBA	Phoenix Suns	113	106				
Regular Season	20	11	2013	(2013-14)	NBA	San Antonio Spurs	NBA	Boston Celtics	104	93				
Regular Season	20	11	2013	(2013-14)	NBA	Toronto Raptors	NBA	Philadelphia 76ers	108	98				
Regular Season	20	11	2013	(2013-14)	NBA	Washington Wizards	NBA	Cleveland Cavaliers	98	91				
Regular Season	21	11	2013	(2013-14)	NBA	Denver Nuggets (2)	NBA	Chicago Bulls	97	87				
Regular Season	21	11	2013	(2013-14)	NBA	Oklahoma City Thunder	NBA	Los Angeles Clippers	105	91				
Regular Season	22	11	2013	(2013-14)	NBA	Atlanta Hawks	NBA	Detroit Pistons	96	89				
Regular Season	22	11	2013	(2013-14)	NBA	Dallas Mavericks	NBA	Utah Jazz	103	93				
Regular Season	22	11	2013	(2013-14)	NBA	Indiana Pacers	NBA	Boston Celtics	97	82				
Regular Season	22	11	2013	(2013-14)	NBA	Los Angeles Lakers	NBA	Golden State Warriors	102	95				
Regular Season	22	11	2013	(2013-14)	NBA	Minnesota Timberwolves	NBA	Brooklyn Nets	111	81				
Regular Season	22	11	2013	(2013-14)	NBA	New Orleans Pelicans	NBA	Cleveland Cavaliers	104	100				
Regular Season	22	11	2013	(2013-14)	NBA	Philadelphia 76ers	NBA	Milwaukee Bucks	115	107	#			
Regular Season	22	11	2013	(2013-14)	NBA	Phoenix Suns	NBA	Charlotte Hornets	98	91				
Regular Season	22	11	2013	(2013-14)	NBA	Portland Trail Blazers	NBA	Chicago Bulls	98	95				
Regular Season	22	11	2013	(2013-14)	NBA	San Antonio Spurs	NBA	Memphis Grizzlies	102	86				
Regular Season	22	11	2013	(2013-14)	NBA	Toronto Raptors	NBA	Washington Wizards	96	88				
Regular Season	23	11	2013	(2013-14)	NBA	Boston Celtics	NBA	Atlanta Hawks	94	87				
Regular Season	23	11	2013	(2013-14)	NBA	Charlotte Hornets	NBA	Milwaukee Bucks	96	72				
Regular Season	23	11	2013	(2013-14)	NBA	Denver Nuggets (2)	NBA	Dallas Mavericks	102	100				
Regular Season	23	11	2013	(2013-14)	NBA	Houston Rockets	NBA	Minnesota Timberwolves	112	101				
Regular Season	23	11	2013	(2013-14)	NBA	Indiana Pacers	NBA	Philadelphia 76ers	106	98				
Regular Season	23	11	2013	(2013-14)	NBA	Los Angeles Clippers	NBA	Sacramento Kings	103	102				
Regular Season	23	11	2013	(2013-14)	NBA	Miami Heat	NBA	Orlando Magic	101	99				
Regular Season	23	11	2013	(2013-14)	NBA	Portland Trail Blazers	NBA	Golden State Warriors	113	101				
Regular Season	23	11	2013	(2013-14)	NBA	San Antonio Spurs	NBA	Cleveland Cavaliers	126	96				
Regular Season	23	11	2013	(2013-14)	NBA	Washington Wizards	NBA	New York Knicks	98	89				
Regular Season	24	11	2013	(2013-14)	NBA	Detroit Pistons	NBA	Brooklyn Nets	109	97				
Regular Season	24	11	2013	(2013-14)	NBA	Los Angeles Clippers	NBA	Chicago Bulls	121	82				
Regular Season	24	11	2013	(2013-14)	NBA	Los Angeles Lakers	NBA	Sacramento Kings	100	86				
Regular Season	24	11	2013	(2013-14)	NBA	Oklahoma City Thunder	NBA	Utah Jazz	95	73				
Regular Season	24	11	2013	(2013-14)	NBA	Phoenix Suns	NBA	Orlando Magic	104	96				
Regular Season	25	11	2013	(2013-14)	NBA	Boston Celtics	NBA	Charlotte Hornets	96	86				
Regular Season	25	11	2013	(2013-14)	NBA	Denver Nuggets (2)	NBA	Dallas Mavericks	110	96				
Regular Season	25	11	2013	(2013-14)	NBA	Detroit Pistons	NBA	Milwaukee Bucks	113	94				
Regular Season	25	11	2013	(2013-14)	NBA	Houston Rockets	NBA	Memphis Grizzlies	93	86				
Regular Season	25	11	2013	(2013-14)	NBA	Indiana Pacers	NBA	Minnesota Timberwolves	98	84				
Regular Season	25	11	2013	(2013-14)	NBA	Miami Heat	NBA	Phoenix Suns	107	92				
Regular Season	25	11	2013	(2013-14)	NBA	Portland Trail Blazers	NBA	New York Knicks	102	91				
